ticker,name,sector,market,index_
ITW,Illinois Tool Works,Industrials,US,S&P500
INCY,Incyte,Health Care,US,S&P500
IR,Ingersoll Rand,Industrials,US,S&P500
PODD,Insulet Corporation,Health Care,US,S&P500
INTC,Intel,Information Technology,US,S&P500
IBKR,Interactive Brokers,Financials,US,S&P500
ICE,Intercontinental Exchange,Financials,US,S&P500
IFF,International Flavors & Fragrances,Materials,US,S&P500
IP,International Paper,Materials,US,S&P500
INTU,Intuit,Information Technology,US,S&P500
ISRG,Intuitive Surgical,Health Care,US,S&P500
IVZ,Invesco,Financials,US,S&P500
INVH,Invitation Homes,Real Estate,US,S&P500
IQV,IQVIA,Health Care,US,S&P500
IRM,Iron Mountain,Real Estate,US,S&P500
JBHT,J.B. Hunt,Industrials,US,S&P500
JBL,Jabil,Information Technology,US,S&P500
JKHY,Jack Henry & Associates,Financials,US,S&P500
J,Jacobs Solutions,Industrials,US,S&P500
JNJ,Johnson & Johnson,Health Care,US,S&P500
JCI,Johnson Controls,Industrials,US,S&P500
JPM,JPMorgan Chase,Financials,US,S&P500
KVUE,Kenvue,Consumer Staples,US,S&P500
KDP,Keurig Dr Pepper,Consumer Staples,US,S&P500
KEY,KeyCorp,Financials,US,S&P500
KEYS,Keysight Technologies,Information Technology,US,S&P500
KMB,Kimberly-Clark,Consumer Staples,US,S&P500
KIM,Kimco Realty,Real Estate,US,S&P500
KMI,Kinder Morgan,Energy,US,S&P500
KKR,KKR & Co.,Financials,US,S&P500
KLAC,KLA Corporation,Information Technology,US,S&P500
KHC,Kraft Heinz,Consumer Staples,US,S&P500
KR,Kroger,Consumer Staples,US,S&P500
LHX,L3Harris,Industrials,US,S&P500
LH,Labcorp,Health Care,US,S&P500
LRCX,Lam Research,Information Technology,US,S&P500
LVS,Las Vegas Sands,Consumer Discretionary,US,S&P500
LDOS,Leidos,Industrials,US,S&P500
LEN,Lennar,Consumer Discretionary,US,S&P500
LII,Lennox International,Industrials,US,S&P500
LLY,Lilly (Eli),Health Care,US,S&P500
LIN,Linde plc,Materials,US,S&P500
LYV,Live Nation Entertainment,Communication Services,US,S&P500
LMT,Lockheed Martin,Industrials,US,S&P500
